Year,Aaa,Aa,A,Baa,Ba,B,Caa-C
1920,0,0.0,0.0032,0.009399999999999999,0.0215,0.0438,0.0
1921,0,0.0019,0.0034999999999999996,0.006500000000000001,0.0044,0.0268,0.1333
1922,0,0.0018,0.0017000000000000001,0.011000000000000001,0.0108,0.0171,0.07629999999999999
1923,0,0.0,0.0,0.0062,0.009300000000000001,0.0227,0.0593
1924,0,0.0037,0.0,0.0013,0.0206,0.027000000000000003,0.1284
1926,0,0.004,0.0015,0.0011,0.0139,0.028999999999999998,0.037000000000000005
1927,0,0.0,0.0021,0.0,0.013000000000000001,0.019799999999999998,0.1284
1928,0,0.0,0.0,0.0,0.0016,0.0132,0.1048
1929,0,0.0029,0.0,0.0044,0.008199999999999999,0.0092,0.0973
1930,0,0.0,0.0,0.004,0.0092,0.0316,0.07719999999999999
1931,0,0.0,0.0027,0.0108,0.03,0.09519999999999999,0.31670000000000004
1932,0,0.0067,0.011000000000000001,0.0092,0.061,0.1398,0.24059999999999998
