Year,Aaa,Aa,A,Baa,Ba,B,Caa-C
1920,0.0,0.0,0.0032,0.0093999999999999,0.0215,0.0438,0.0
1921,0.0,0.0019,0.0034999999999999,0.0065,0.0044,0.0268,0.1333
1922,0.0,0.0018,0.0017,0.011,0.0108,0.0171,0.0762999999999999
1923,0.0,0.0,0.0,0.0062,0.0093,0.0227,0.0593
1924,0.0,0.0037,0.0,0.0013,0.0206,0.027,0.1284
1925,0.0,0.00385,0.00075,0.0012,0.01725,0.028,0.0827
1926,0.0,0.004,0.0015,0.0011,0.0139,0.0289999999999999,0.037
1927,0.0,0.0,0.0021,0.0,0.013,0.0197999999999999,0.1284
1928,0.0,0.0,0.0,0.0,0.0016,0.0132,0.1048
1929,0.0,0.0029,0.0,0.0044,0.0081999999999999,0.0092,0.0973
1930,0.0,0.0,0.0,0.004,0.0092,0.0316,0.0771999999999999
1931,0.0,0.0,0.0027,0.0108,0.03,0.0951999999999999,0.3167
1932,0.0,0.0067,0.011,0.0092,0.061,0.1398,0.2405999999999999
1933,0.0,0.0,0.0026,0.0177,0.1171,0.1614999999999999,0.2592
1934,0.0,0.0062,0.0031,0.0086,0.0252,0.0421999999999999,0.165
1935,0.0,0.0,0.0143,0.0192,0.0512,0.0426999999999999,0.1301999999999999
1936,0.0,0.0085,0.0054,0.0033,0.0123,0.0237999999999999,0.078
1937,0.0,0.0,0.0051,0.0104,0.0098999999999999,0.0266999999999999,0.0907
1938,0.0,0.0085,0.0163999999999999,0.0199,0.0098,0.0147,0.1281
1939,0.0,0.0,0.0,0.0098999999999999,0.0062,0.0174,0.0607
1940,0.0,0.0,0.0,0.0137,0.0043,0.0329,0.1183
1941,0.0,0.0,0.0,0.0,0.0097,0.0081,0.0507
1942,0.0,0.0,0.0,0.0,0.0,0.0078,0.02
1943,0.0,0.0,0.0,0.0,0.0,0.0135,0.0
1944,0.0,0.0,0.0,0.0,0.0,0.0049,0.0255
1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0356999999999999
1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947,0.0,0.0,0.0,0.0,0.0,0.0070999999999999,0.0278
1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0136,0.0102,0.0857
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0475999999999999
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0713999999999999
1955,0.0,0.0,0.0,0.0,0.0,0.0161,0.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,0.0,0.0,0.0,0.0,0.0,0.0127,0.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,0.0,0.0,0.0125,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.006,0.0,0.087
1962,0.0,0.0,0.0,0.0,0.0175,0.0147,0.0
1963,0.0,0.0,0.0,0.0,0.0116,0.0147,0.0
1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,0.0243999999999999,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,0.05
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,0.0,0.0,0.0054,0.0424,0.1944,0.5
1971,0.0,0.0,0.0,0.0,0.0089,0.0,0.125
1972,0.0,0.0,0.0,0.0,0.0,0.069,0.375
1973,0.0,0.0,0.0,0.0046,0.0,0.0385,0.375
1974,0.0,0.0,0.0,0.0,0.0051,0.0716,0.0
1975,0.0,0.0,0.0,0.0,0.0103,0.0616,0.0
1976,0.0,0.0,0.0,0.0,0.01,0.0,0.0
1977,0.0,0.0,0.0,0.0029,0.0054,0.0323,0.3333
1978,0.0,0.0,0.0,0.0,0.0112,0.0541,0.0
1979,0.0,0.0,0.0,0.0,0.0051,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.05,0.3333
1981,0.0,0.0,0.0,0.0,0.0,0.044,0.0
1982,0.0,0.0,0.0026,0.0033,0.0279,0.0222,0.2143
1983,0.0,0.0,0.0,0.0,0.0116,0.0222,0.4504999999999999
1984,0.0,0.0,0.0,0.0060999999999999,0.0052,0.0516999999999999,0.1818
1985,0.0,0.0,0.0,0.0,0.0087,0.0711,0.0625
1986,0.0,0.0,0.0,0.0084,0.0237,0.103,0.1618
1987,0.0,0.0,0.0,0.0,0.0304,0.0535,0.0982
1988,0.0,0.0,0.0,0.0,0.0136,0.0561,0.125
1989,0.0,0.005,0.0,0.0051,0.0297,0.0753,0.2039
1990,0.0,0.0,0.0,0.0026,0.0353,0.1368,0.4506
1991,0.0,0.0,0.0,0.0025,0.0384,0.1311999999999999,0.1597
1992,0.0,0.0,0.0,0.0,0.0034,0.0764,0.1567
1993,0.0,0.0,0.0,0.0,0.0062,0.0435,0.1394999999999999
1994,0.0,0.0,0.0,0.0,0.0,0.0419,0.0530999999999999
1995,0.0,0.0,0.0,0.0,0.0027,0.0383,0.1155
1996,0.0,0.0,0.0,0.0,0.0,0.0151,0.099
1997,0.0,0.0,0.0,0.0,0.0018,0.02,0.0909
1998,0.0,0.0,0.0,0.0011,0.0076,0.0369,0.0886
1999,0.0,0.0,0.0,0.0009,0.0138,0.0504,0.1503999999999999
2000,0.0,0.0,0.0,0.0034999999999999,0.0144,0.0564,0.1773999999999999
2001,0.0,0.0,0.0015,0.0018,0.0116999999999999,0.0872,0.2827
2002,0.0,0.0,0.0016,0.0084,0.0177,0.0457,0.264
2003,0.0,0.0,0.0,0.0,0.0089,0.0256,0.2045
2004,0.0,0.0,0.0,0.0,0.0038,0.0068,0.109
2005,0.0,0.0,0.0,0.0016,0.0,0.0070999999999999,0.0727
2006,0.0,0.0,0.0,0.0,0.002,0.0109,0.055
2007,0.0,0.0,0.0,0.0,0.0,0.001,0.0478
2008,0.0,0.005,0.004,0.0101,0.0233,0.0404,0.107
2009,0.0,0.0,0.0024,0.0092,0.0177,0.068,0.2639
2010,0.0,0.0,0.0017,0.0007,0.0,0.0039,0.0863
2011,0.0,0.0019,0.0,0.0036,0.0016,0.0034,0.0622
